Accession,Bird 
DQ434515,American Goldfinch 
DQ434519,House Finch 
DQ434506,Cardinal 
DQ434249,Red-Winged Blackbird 
DQ434727,Common Grackle
DQ434745,White-Breasted Nuthatch
DQ434557,Blue Jay
DQ434713,Hairy Woodpecker 
AY666228,Downy Woodpecker
DQ434638,Red-Bellied Woodpecker
DQ434236,Mourning Dove
DQ434772,European Starling
DQ434791,American Robin
DQ434723,Black-Capped Chickadee
DQ434341,Tufted Titmouse
